id	title	description	link	image_link	price	availability	condition	brand	google_product_category	mpn	color	material	identifier_exists
lemonquartz_012	Natural Unheated Lemon Quartz 11.15 Carats	Vibrant Lemon Quartz from Pakistan. Stone of clarity and positive energy with eye clean transparency.	https://gemmines2.github.io/gemmines2-website/product/lemonquartz_012.html	https://gemmines2.github.io/gemmines2-website/images/lemon-quartz.jpg	70.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	lemonquartz_012	Lemon Yellow	Pakistan Origin 11.15 ct — Unheated Untreated	false
lemonquartz2_014	Natural Eye-Clean Lemon Quartz Cut and Polished	AAA Grade Faceted Lemon Quartz Loose Stone from Pakistan with exceptional clarity and brilliant cut.	https://gemmines2.github.io/gemmines2-website/product/lemonquartz2_014.html	https://gemmines2.github.io/gemmines2-website/images/lemon-quartz2.jpg	140.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	lemonquartz2_014	Lemon Yellow	Pakistan Origin 8.5 ct — Unheated Untreated	false
bluesapphire_016	Stunning Sri Lankan Blue Sapphire Heated 1.10 Carats	Symbol of wisdom, virtue and good fortune. Stunning blue sapphire from Sri Lanka with heat treatment for enhanced color.	https://gemmines2.github.io/gemmines2-website/product/bluesapphire_016.html	https://gemmines2.github.io/gemmines2-website/images/bluesapphire.jpg	320.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	bluesapphire_016	Blue	Sri Lanka Origin 1.1 ct — Heat Treated	false
emeralds_017	Natural Unheated Cut and Polished Zambian Emeralds	Premium Untreated Loose Gemstones with Rich Green Hue from Zambia. Natural unheated emeralds with exceptional color saturation.	https://gemmines2.github.io/gemmines2-website/product/emeralds_017.html	https://gemmines2.github.io/gemmines2-website/images/emeralds.jpg	600.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	emeralds_017	Rich Green	Zambia Origin 2.4 ct — Unheated Untreated	false
fluorite_018	Natural Unheated Blue Fluorite 58 Carats	Rare High Clarity Polished Crystal Healing Stone from Pakistan. Beautiful blue fluorite with exceptional clarity.	https://gemmines2.github.io/gemmines2-website/product/fluorite_018.html	https://gemmines2.github.io/gemmines2-website/images/fluorite.jpg	100.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	fluorite_018	Blue	Pakistan Origin 58 ct — Unheated Untreated	false
mixedgemstones_019	Natural Mixed Lot Gemstones Peridot Garnet and Smoky Quartz	Collection of rare mixed gemstones including Peridot, Garnet and Smoky Quartz. Perfect for collectors.	https://gemmines2.github.io/gemmines2-website/product/mixedgemstones_019.html	https://gemmines2.github.io/gemmines2-website/images/mixed-gemstones.jpg	600.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	mixedgemstones_019	Multi-Color	Pakistan Origin 15.3 ct — Unheated Untreated	false
almandine_028	Natural Almandine Garnet 60 Carat Oval Cut	Polished Reddish Purple Almandine Garnet from Pakistan. Unheated and Untreated with beautiful oval cut.	https://gemmines2.github.io/gemmines2-website/product/almandine_028.html	https://gemmines2.github.io/gemmines2-website/images/almandine.jpg	125.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	almandine_028	Reddish Purple	Pakistan Origin 60 ct — Unheated Untreated	false
mixed_sapphire_029	Premium Mixed Sapphire Collection Multi-Color	Natural multi-color loose sapphire gemstones from Pakistan. Beautiful collection of unheated sapphires in various colors.	https://gemmines2.github.io/gemmines2-website/product/mixed_sapphire_029.html	https://gemmines2.github.io/gemmines2-website/images/mixedsapphire.jpg	400.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	mixed_sapphire_029	Multi-Color	Pakistan Origin 22.1 ct — Unheated Untreated	false
Natural_Black_Chert_030	Natural Black Chert Tumbled Stone from Pakistan	Smooth river rock specimen with deep black color from Pakistan. Natural tumbled chert stone.	https://gemmines2.github.io/gemmines2-website/product/Natural_Black_Chert_030.html	https://gemmines2.github.io/gemmines2-website/images/chert.jpg	80.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	Natural_Black_Chert_030	Deep Black	Pakistan Origin 14 ct — Unheated Untreated	false
Kunzite_031	Natural Pink Kunzite Gemstone 4.80 Carats	Unheated transparent oval-cut natural pink kunzite from Pakistan. Beautiful pink color with excellent transparency.	https://gemmines2.github.io/gemmines2-website/product/Kunzite_031.html	https://gemmines2.github.io/gemmines2-website/images/pink-kunzite.jpg	100.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	Kunzite_031	Pink	Pakistan Origin 4.8 ct — Unheated Untreated	false
quartz_034	12 Carat Ferruginous Quartz Gemstone	Vibrant Yellow with White Hues. Natural Loose Ferruginous Quartz Stone from Pakistan.	https://gemmines2.github.io/gemmines2-website/product/quartz_034.html	https://gemmines2.github.io/gemmines2-website/images/ferruginous.jpg	70.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	quartz_034	Yellow/White	Pakistan Origin 12 ct — Unheated Untreated	false
sapphire_039	2.15ct Natural Unheated Bi-Color Sapphire Sri Lanka	Rare Sri Lankan Origin Bi-Color Sapphire. Unheated and untreated with pear cut. Beautiful two-tone color combination.	https://gemmines2.github.io/gemmines2-website/product/sapphire_039.html	https://gemmines2.github.io/gemmines2-website/images/bi-color-sapphire.jpeg	95.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	sapphire_039	Bi-Color	Sri Lanka Origin 2.15 ct — Unheated Untreated	false
sapphire_040	5.80ct Royal Blue Sapphire Sri Lankan Origin	Heated Royal Blue Sapphire from Sri Lanka with Oval Brilliant Cut. Deep royal blue color with excellent luster.	https://gemmines2.github.io/gemmines2-website/product/sapphire_040.html	https://gemmines2.github.io/gemmines2-website/images/darksapphire.jpeg	120.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	sapphire_040	Royal Blue	Sri Lanka Origin 5.8 ct — Heat Treated	false
sapphire_043	Heated Padparadscha Sapphire 2.93 Ct - Sri Lankan Ceylon Pink-Orange Gem with Beautiful Luster	Stunning 2.93 carat heated Padparadscha sapphire from Sri Lanka. Rare pinkish-orange to orangey-pink hue evoking the soft glow of a lotus blossom. Professionally heated for enhanced color saturation with excellent luster and brilliance.	https://gemmines2.github.io/gemmines2-website/product/sapphire_043.html	https://gemmines2.github.io/gemmines2-website/images/Padparadscha-sapphire.jpeg	190.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	sapphire_043	Pink-Orange	Sri Lanka Origin 2.93 ct — Heat Treated	false
ruby_044	Natural Unheated Sri Lankan Ruby 1.06 Carats	Vivid Red Ceylon Ruby Gemstone with Stunning Luster. Natural unheated Sri Lankan ruby, one of the most sought after gemstones in the world.	https://gemmines2.github.io/gemmines2-website/product/ruby_044.html	https://gemmines2.github.io/gemmines2-website/images/ruby2.jpeg	200.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	ruby_044	Vivid Red	Sri Lanka Origin 1.06 ct — Unheated Untreated	false
pinktopaz_101	Natural Unheated Pink Topaz 18 Carats Pakistan	Natural Unheated Light Pink Topaz from Pakistan weighing 18.00 carats. Soft light pink color with minor natural inclusions confirming authenticity.	https://gemmines2.github.io/gemmines2-website/product/pinktopaz_101.html	https://gemmines2.github.io/gemmines2-website/images/pinktopaz.gif	120.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	pinktopaz_101	Light Pink	Pakistan Origin 18 ct — Unheated Untreated	false
Greenperidot_102	Natural Unheated Olive Green Peridot Pakistan	Natural unheated olive green peridot from Pakistan with attractive color and good luster.	https://gemmines2.github.io/gemmines2-website/product/Greenperidot_102.html	https://gemmines2.github.io/gemmines2-website/images/peridot.gif	95.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	Greenperidot_102	Olive Green	Pakistan Origin 5 ct — Unheated Untreated	false
rhodolitegarnets_103	Natural Unheated Rhodolite Garnets 12 Carats Tanzania	Natural unheated rhodolite garnets from Tanzania featuring mixed gemstone cuts, reddish pink color, and good luster.	https://gemmines2.github.io/gemmines2-website/product/rhodolitegarnets_103.html	https://gemmines2.github.io/gemmines2-website/images/rhodolite.jpg	140.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	rhodolitegarnets_103	Reddish Pink	Tanzania Origin 12 ct — Unheated Untreated	false
jade_045	Natural Translucent Green Nephrite Jade Gemstone 3.20 Carats Pakistan	Discover this beautiful natural translucent green nephrite gemstone from Pakistan. Untreated and unenhanced gemstone features the classic silky texture and toughness that nephrite is famous for.	https://gemmines2.github.io/gemmines2-website/product/jade_045.html	https://gemmines2.github.io/gemmines2-website/images/natural-translucent-green-nephrite--1780761893401-0.jpg	80.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	jade_045	Translucent Green	Pakistan Origin 3.2 ct — Unheated Untreated	false
GM-SPN-1010	Natural Cobalt Blue Spinel 1 Carat – Unheated Sri Lankan Origin Loose Gemstone	A rare, 100% natural and unheated Cobalt Blue Spinel. Sourced from Sri Lanka (Ceylon), this exquisite gemstone features an intense, vivid neon blue hue with exceptional clarity. Perfect for high-end custom jewelry settings like 925 sterling silver rings or pendants. Certified authentic, completely untreated, and ethically sourced.	https://gemmines2.github.io/gemmines2-website/product/GM-SPN-1010.html	https://gemmines2.github.io/gemmines2-website/images/GM-SPN-1010.jpg	180.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	GM-SPN-1010	Cobalt Blue	Sri Lanka Origin 1 ct — Unheated Untreated	false
GM-ZRCN-1013-1	Natural Green Zircon 2.35 Ct Clean Gemstone with Brilliant Luster Loose Stone - Sri Lanka Origin	Natural Green Zircon gemstone weighing 2.35 carats with clean clarity and brilliant luster. This loose gemstone displays strong sparkle, attractive green color, and beautiful brilliance. Ideal for gemstone collectors, custom jewelry designs, rings, pendants, and fine gemstone collections. A bright and elegant zircon with excellent visual appeal and natural beauty.	https://gemmines2.github.io/gemmines2-website/product/GM-ZRCN-1013-1.html	https://gemmines2.github.io/gemmines2-website/images/GM-ZRCN-1013-1.jpeg	90.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	GM-ZRCN-1013-1	Green	Sri Lanka Origin 2.35 ct — Unheated Untreated	false
GM-SAP-1016	Natural Blue Sapphire 1.67 Ct Heated Trillion Cut Eye Clean Loose Gemstone - Sri Lanka Origin	Natural Blue Sapphire weighing 1.67 carats with attractive blue color, heated enhancement, and eye clean clarity. This trillion cut loose gemstone displays beautiful brilliance and elegant luster, making it ideal for gemstone collectors, custom jewelry, rings, pendants, and fine gemstone collections. A vibrant sapphire with excellent visual appeal and sparkle.	https://gemmines2.github.io/gemmines2-website/product/GM-SAP-1016.html	https://gemmines2.github.io/gemmines2-website/images/GM-SAP-1016-1.jpeg	140.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	GM-SAP-1016	Blue	Sri Lanka Origin 1.67 ct — Unheated Untreated	false
GM-SPN-1017-1	Natural Unheated Spinel Lot 6 Carats Mixed Cuts Dark / Light Color	Natural unheated spinel lot weighing approximately 6 carats total. This parcel features mixed cuts and a selection of beautiful dark colors with attractive luster. The stones are lightweight and ideal for jewelry designers, collectors, gemstone traders, and custom jewelry projects. Each spinel is untreated and offered as a loose gemstone parcel for flexible use in rings, pendants, earrings, or gemstone collections. Mixed shapes and sizes provide variety while maintaining the rich dark tones that make spinel highly sought after. A practical choice for anyone looking for natural, unheated spinels in a compact 6 ct lot.	https://gemmines2.github.io/gemmines2-website/product/GM-SPN-1017-1.html	https://gemmines2.github.io/gemmines2-website/images/GM-SPN-1017-1.png	140.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	GM-SPN-1017-1	Violet, Plum, Purple, Steel Blue, Grey,Teal, Greenish Blue	Sri Lanka Origin 6 ct — Unheated Untreated	false
gm-sap-1027	Natural Correndum Pink Sapphire 1.19 Caats - Natural Unheated - Sri Lanka Origin	Natural Pink Sapphire (Corundum) weighing 1.19 carats, expertly cut in an elegant octagon step cut to enhance its natural beauty and brilliance. Sourced from Sri Lanka, this loose gemstone features an attractive natural pink color and is suitable for custom rings, pendants, earrings, or gemstone collections. A fine choice for jewelers, collectors, and gemstone enthusiasts seeking a genuine natural sapphire. Each gemstone is carefully selected for quality and presentation.	https://gemmines2.github.io/gemmines2-website/product/gm-sap-1027.html	https://gemmines2.github.io/gemmines2-website/images/gm-sap-1027-1.jpg	140.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	gm-sap-1027		Sri Lanka Origin 1.19 ct — Unheated Untreated	false
GM-TPZ-1011	Natural Blue Topaz 1 Ct Round Cut Set in 925 Sterling Silver Jewelry | Sri Lanka Origin | Loupe Clean Gemstone	Natural Blue Topaz weighing 1 carat, round cut and loupe clean, set in 925 sterling silver jewelry. Sourced from Sri Lanka. Features excellent clarity and attractive blue color. Suitable for daily wear, gifting, jewelry collections, and gemstone enthusiasts.	https://gemmines2.github.io/gemmines2-website/product/GM-TPZ-1011.html	https://gemmines2.github.io/gemmines2-website/images/GM-TPZ-1011-1.jpeg	90.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	GM-TPZ-1011	Blue	Sri Lanka Origin 1 ct — Unheated Untreated	false
GM-SAP-1019	Natural Unheated Royal Blue Sapphire 2.07 Ct Sri Lanka Origin - Cut and Polished	This beautiful Natural Royal Blue Sapphire weighs 2.07 carats and originates from Sri Lanka, one of the world's most respected sources of fine sapphires. Featuring a rich royal blue color, this gemstone displays excellent natural brilliance and luster that enhance its overall beauty and appeal.	https://gemmines2.github.io/gemmines2-website/product/GM-SAP-1019.html	https://gemmines2.github.io/gemmines2-website/images/GM-SAP-1019-1.jpg	320.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	GM-SAP-1019	Royal Blue	Sri Lanka Origin 2.07 ct — Unheated Untreated	false
GM-SAP-1020	Natural Cornflower Blue Sapphire 0.80 Ct Oval Cut Sri Lanka Origin | Cut and Polished	Natural Cornflower Blue Sapphire from Sri Lanka, known for producing some of the world's finest sapphires. This elegant gemstone weighs 0.80 carats and features a well-proportioned oval cut that enhances its brilliance and light reflection.  The stone displays a premium cornflower blue color, highly valued for its rich yet soft royal tone and exceptional visual appeal. With loupe clean clarity, it offers excellent transparency and minimal visible inclusions, making it suitable for fine jewelry use.  This sapphire shows strong natural brilliance with excellent shine and sparkle under light. Treatment status is currently unknown (may be heated or unheated), which is common in natural gemstones.	https://gemmines2.github.io/gemmines2-website/product/GM-SAP-1020.html	https://gemmines2.github.io/gemmines2-website/images/GM-SAP-1021-1.jpg	120.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	GM-SAP-1020	Cornflower Blue	Sri Lanka Origin 0.8 ct — Heat Treated	false
gm-sap-1023	Natural Unheated Mixed Sapphire Lot | Blue, Pink, Violet & Yellow Sapphires | Sri Lanka Origin | Cut & Polished	Natural Unheated Mixed Sapphire Lot featuring beautiful Blue, Pink, Violet, and Yellow sapphires sourced from Sri Lanka. These genuine natural gemstones are untreated and unheated, preserving their original beauty and character. The collection showcases attractive colors, excellent brilliance, and a variety of cut and polished shapes suitable for gemstone collectors, jewelry making, custom designs, and gemstone enthusiasts. Sri Lanka is renowned worldwide for producing high-quality sapphires with exceptional color and clarity. A unique multi-color sapphire lot offering natural beauty and versatility in one collection.	https://gemmines2.github.io/gemmines2-website/product/gm-sap-1023.html	https://gemmines2.github.io/gemmines2-website/images/gm-sap-1023.jpg	170.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	gm-sap-1023	Multi-Color	Sri Lanka Origin — Unheated Untreated	false
gm-sap-1028	Natural Royal Blue Sapphire 1.50 Carat Unheated Oval Cut	Natural Royal Blue Sapphire (Corundum) weighing 1.50 carats, featuring a rich royal blue color with excellent brilliance and a loupe clean clarity. This genuine loose gemstone is unheated, preserving its natural beauty and rarity. Ethically sourced from Sri Lanka and expertly cut and polished, it is ideal for custom engagement rings, pendants, earrings, or gemstone collections. A premium-quality sapphire suitable for jewelers, collectors, and gemstone enthusiasts seeking a natural, untreated gemstone.	https://gemmines2.github.io/gemmines2-website/product/gm-sap-1028.html	https://gemmines2.github.io/gemmines2-website/images/gm-sap-1028.jpg	1400.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	gm-sap-1028	Royal Blue	Sri Lanka Origin 1.5 ct — Unheated Untreated	false
gm-strsap-1029	Natural Pink Star Sapphire 1.65 Carat Clean Strong Centered Star Natural Gemstone Sri Lanka	Natural Pink Star Sapphire weighing 1.65 carats, sourced from Sri Lanka. This premium gemstone features a beautiful, evenly saturated pink color with a strong, well-centered six-ray star effect visible under direct light. The stone has excellent clarity, high purity, and a natural polished finish that enhances its brilliance. Ideal for collectors, gemstone enthusiasts, or custom jewelry including rings and pendants. A genuine natural sapphire selected for its quality, attractive color, and distinct star phenomenon.	https://gemmines2.github.io/gemmines2-website/product/gm-strsap-1029.html	https://gemmines2.github.io/gemmines2-website/images/gm-strsap-1029-1.jpg	120.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	gm-strsap-1029		Sri Lanka Origin 1.65 ct — Unheated Untreated	false
gm-sap-1032	Natural Heated Blue Sapphire 1.68 Carat ( heated ) - Sri Lanka Origin	Natural Heated Blue Sapphire weighing 1.68 carats, precision cut in a classic round shape with excellent brilliance and sparkle. This genuine sapphire features a beautiful natural blue color and top eye-clean clarity, making it an excellent choice for fine jewelry or gemstone collections. The gemstone has undergone standard heat treatment to enhance its natural beauty and comes with a gemstone certificate for authenticity. Ethically sourced from Sri Lanka, this loose sapphire is carefully selected for its quality, durability, and attractive appearance. Secure worldwide shipping is available.	https://gemmines2.github.io/gemmines2-website/product/gm-sap-1032.html	https://gemmines2.github.io/gemmines2-website/images/gm-sap-1032.jpeg	300.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	gm-sap-1032	Blue	Sri Lanka Origin 1.68 ct — Unheated Untreated	false
gm-zrcn-1033	Natural Blue Zircon Pair 5.23 Carats (2.90 ct & 2.33 ct) Sri Lanka Origin -Cut & Polished	Natural Sri Lanka Origin Blue Zircon pair featuring two beautifully matched cut and polished gemstones weighing 2.90 carats and 2.33 carats, with a combined weight of 5.23 carats. These genuine loose gemstones display an attractive natural blue color, excellent brilliance, and outstanding sparkle, making them ideal for fine jewelry, matching earrings, pendants, custom rings, or gemstone collections. Carefully selected for quality and sourced from Sri Lanka.	https://gemmines2.github.io/gemmines2-website/product/gm-zrcn-1033.html	https://gemmines2.github.io/gemmines2-website/images/gm-zrcn-1033.jpeg	200.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	gm-zrcn-1033	Blue	Sri Lanka Origin 2.33 ct — Unheated Untreated	false
gm-ctrn-1037	Natural Golden Yellow Citrine 53.00 Carats - Sri Lanka Origin	Natural Golden Yellow Citrine weighing 53.00 carats, expertly cut in a beautiful square shape with excellent precision cutting for outstanding brilliance. This gemstone displays a bright golden lemon yellow color with exceptional transparency and a loupe clean clarity, making it an excellent choice for fine jewelry or gemstone collectors.	https://gemmines2.github.io/gemmines2-website/product/gm-ctrn-1037.html	https://gemmines2.github.io/gemmines2-website/images/gm-ctrn-1037.jpeg	170.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	gm-ctrn-1037	Lemon Yellow	Sri Lanka Origin 53 ct — Unheated Untreated	false
